Division Name,Zila Name,Upazila Name,Total Population (N),Rural Population (%),Working-age population (N),Number of Households (N),Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Primary employment: Agriculture (%),Primary employment: Industry (%),Primary employment: Services (%),Households with Electricity (%),Households with flush toilet (%),"Households with non-flush, latrine (%)",Literate population (18 years and older) (%), Educational attainment: Less than primary completed (18 years and older) (%), Educational attainment: Primary completed (18 years and older) (%), Educational attainment: Secondary completed (18 years and older)(%), Educational attainment: University completed (18 years and older) (%),School attendance among 6-18 years old (%),School attendance among 6-10 years old (%),School attendance among 11-13 years old (%),School attendance among 14-15 years old (%),School attendance among 16-18 years old (%),Percentage of underweight children (%),Percentage of severely underweight children (%),Percentage of stunted children (%),Percentage of severely stunted children (%),Households with tap water (%),Households with tubewell water (%),"Households without toilet, open defecation (%)"
BARISAL,BARISAL,AGAILJHARA,148820,93.4,87360,32840,51.1,38.2,64.0,7.7,28.3,48.0,39.1,45.7,62.6,40.9,42.1,14.0,2.9,80.9,87.7,88.2,70.9,46.2,30.4,6.5,36.8,20.5,0.4,88.1,2.4
BARISAL,BARGUNA,AMTALI,269300,91.9,159200,63220,22.8,12.0,72.1,5.0,22.9,22.3,21.7,45.5,51.9,51.1,38.3,8.7,2.0,74.8,81.2,79.5,64.0,37.7,34.5,8.0,39.4,22.4,1.2,96.7,4.5
BARISAL,BARISAL,BABUGANJ,139000,93.2,81000,31680,48.7,36.8,51.7,10.0,38.3,62.8,32.6,55.2,68.9,33.0,48.3,16.3,2.5,80.1,85.1,88.5,73.2,48.5,28.9,6.1,36.1,19.9,0.8,97.5,0.3
BARISAL,BARISAL,BAKERGANJ,312060,93.6,178500,71540,55.4,42.2,50.5,11.3,38.2,45.8,29.5,47.5,61.8,40.1,43.6,13.8,2.5,78.6,83.9,86.6,71.7,43.6,31.6,7.0,38.9,22.1,0.1,97.5,2.1
BARISAL,BARGUNA,BAMNA,77140,90.2,47440,19540,17.0,8.9,59.5,14.0,26.5,29.1,34.1,49.8,62.3,38.7,46.4,12.5,2.4,76.5,84.2,85.1,58.9,43.2,31.1,6.7,38.5,21.7,0.0,98.1,1.6
BARISAL,BARISAL,BANARI PARA,148520,89.1,88660,34200,52.2,38.1,53.6,5.7,40.7,47.4,58.9,34.5,67.6,37.3,45.9,13.9,3.0,79.0,86.0,84.7,72.0,45.0,29.6,6.3,37.3,20.8,0.4,98.9,0.2
BARISAL,BARGUNA,BARGUNA SADAR,263080,87.9,158080,62080,19.2,9.9,56.9,6.3,36.8,31.8,25.6,47.2,58.1,42.0,42.9,11.9,3.1,80.7,86.3,86.2,74.4,47.5,31.7,7.0,38.9,22.1,0.4,94.5,2.9
BARISAL,BARISAL,BARISAL SADAR (KOTWALI),515940,36.0,326860,114780,49.9,31.0,17.6,13.7,68.7,80.5,34.3,46.0,71.2,29.4,38.5,23.7,8.4,74.6,83.9,79.5,66.1,45.9,27.3,5.6,38.5,21.7,6.2,91.6,1.2
BARISAL,PATUAKHALI,BAUPHAL,301220,94.6,172920,67840,24.0,13.9,50.8,11.9,37.3,38.9,19.6,51.7,56.9,44.2,38.7,14.5,2.6,76.3,80.3,83.3,71.2,48.7,33.9,7.8,40.5,23.3,0.2,97.3,1.1
BARISAL,BARGUNA,BETAGI,118260,89.3,69280,27920,19.6,10.3,62.5,7.6,29.9,34.0,28.9,49.6,57.4,41.3,41.9,14.2,2.6,79.7,84.6,86.7,74.6,47.8,31.8,7.0,37.7,21.4,0.1,94.9,0.9
BARISAL,PIROJPUR,BHANDARIA,146300,83.6,84060,34360,42.0,29.9,49.9,11.1,39.0,46.1,34.7,47.8,68.3,35.4,44.9,16.1,3.6,79.0,85.0,83.4,73.2,48.2,29.3,6.2,37.0,20.5,0.5,75.6,0.5
BARISAL,BHOLA,BHOLA SADAR,430680,80.1,235280,88140,49.2,35.7,52.4,4.5,43.1,42.6,11.6,52.6,43.6,58.3,28.2,10.8,2.8,68.3,75.5,74.5,55.2,34.3,36.7,8.8,43.7,25.4,0.4,97.0,4.2
BARISAL,BHOLA,BURHANUDDIN,234480,83.4,129640,48540,28.3,16.3,67.9,5.5,26.6,25.0,7.5,55.4,45.4,58.3,30.0,9.7,1.9,67.1,76.3,71.0,50.3,33.7,37.4,9.1,41.6,24.1,0.3,97.1,5.6
BARISAL,BHOLA,CHAR FASSON,454840,90.3,242960,94620,28.2,14.9,72.6,9.4,17.9,19.1,7.4,41.5,42.3,59.9,29.9,8.4,1.9,64.6,71.1,72.4,50.6,26.0,38.3,9.4,42.8,25.1,0.3,93.2,9.1
BARISAL,PATUAKHALI,DASHMINA,123200,83.6,69960,28500,21.8,11.3,67.0,5.7,27.3,13.8,21.8,54.2,45.0,57.0,33.2,8.3,1.5,70.0,76.1,75.6,56.1,38.7,36.1,8.5,41.6,24.3,0.3,94.2,2.8
BARISAL,BHOLA,DAULAT KHAN,171020,89.8,94260,34660,30.3,18.0,66.0,6.0,28.0,38.0,9.0,53.6,40.1,59.7,29.5,9.0,1.9,65.1,73.7,72.7,48.8,27.0,38.3,9.4,43.6,25.2,0.1,97.7,5.0
BARISAL,PATUAKHALI,DUMKI,69580,83.6,39220,15540,22.0,13.1,53.4,8.3,38.3,40.9,25.6,45.3,63.0,36.8,46.5,14.0,2.6,83.3,89.5,86.1,75.6,55.7,31.7,7.0,38.2,21.5,0.3,95.2,1.3
BARISAL,PATUAKHALI,GALACHIPA,361940,92.9,207480,80120,26.0,14.4,76.0,4.6,19.4,23.1,16.6,46.4,44.0,57.8,32.2,8.5,1.5,66.3,73.4,72.4,54.3,30.1,36.6,8.7,41.2,23.8,0.9,97.3,7.6
BARISAL,BARISAL,GAURNADI,189180,78.4,112800,41560,55.5,39.9,59.3,12.2,28.5,59.2,32.2,54.0,59.2,42.5,41.2,13.3,3.0,75.4,81.5,85.0,67.3,37.9,31.0,6.8,37.2,20.8,1.5,96.7,1.2
BARISAL,BARISAL,HIZLA,145540,90.5,75680,30540,62.3,49.5,78.4,8.3,13.3,41.3,16.8,64.2,41.0,56.9,35.3,6.6,1.2,63.6,74.9,65.7,41.2,22.9,37.8,9.2,40.7,23.3,0.2,88.2,1.1
BARISAL,JHALOKATI,JHALOKATI SADAR,214160,74.9,130140,49940,37.7,22.3,43.4,11.3,45.3,55.9,55.6,34.4,68.8,32.7,43.5,20.3,3.5,81.2,89.1,86.5,74.2,50.2,27.5,5.6,35.7,19.7,1.4,97.5,1.5
BARISAL,PATUAKHALI,KALA PARA,238700,85.2,140520,57540,20.3,9.7,67.6,9.0,23.5,31.3,29.6,40.9,53.3,48.1,41.1,9.5,1.4,71.7,79.8,76.8,55.3,32.1,34.4,7.9,40.3,23.3,1.3,97.6,4.2
BARISAL,JHALOKATI,KANTHALIA,120480,91.7,72400,30940,34.2,21.4,59.6,11.1,29.3,39.1,44.5,42.1,66.3,35.8,46.3,15.2,2.7,79.2,83.9,86.4,70.2,52.7,28.9,6.1,35.6,19.7,1.0,78.0,1.2
BARISAL,PIROJPUR,KAWKHALI,69720,86.7,42240,16220,52.2,39.6,47.6,9.7,42.8,44.5,23.6,25.3,66.9,30.2,48.5,17.8,3.6,78.4,83.9,84.9,74.1,44.0,28.5,5.9,39.9,23.2,0.4,98.3,1.0
BARISAL,BHOLA,LALMOHAN,284780,87.4,157060,61000,27.8,15.2,74.2,5.5,20.3,17.9,13.0,58.1,38.0,65.2,25.5,7.4,1.9,60.7,68.9,68.2,42.6,24.7,39.5,9.9,42.0,24.3,0.2,97.9,4.2
BARISAL,BHOLA,MANPURA,76840,98.9,41380,17060,32.8,19.4,80.2,3.5,16.3,14.2,1.2,27.3,33.4,68.4,25.3,5.3,1.1,57.8,66.4,61.9,40.8,21.4,40.6,10.3,46.1,27.7,0.0,96.0,18.3
BARISAL,PIROJPUR,MATHBARIA,262280,88.9,156560,61180,38.0,25.6,59.4,7.6,33.0,34.8,5.3,52.6,61.7,38.1,47.1,12.4,2.5,75.6,83.7,81.8,62.8,35.2,30.8,6.7,38.6,21.9,4.7,37.4,1.5
BARISAL,BARISAL,MEHENDIGANJ,300460,89.1,163280,65240,64.4,50.0,74.6,7.1,18.3,26.4,14.8,58.5,49.6,48.5,40.0,10.1,1.5,69.7,78.1,76.0,50.3,31.8,36.2,8.6,40.2,23.0,0.4,91.9,2.1
BARISAL,PATUAKHALI,MIRZAGANJ,121820,81.8,73060,28220,17.8,9.6,61.1,11.5,27.5,34.4,30.3,51.7,58.1,40.0,43.6,13.9,2.5,79.7,84.7,86.0,78.0,47.9,31.6,6.9,38.7,21.9,1.2,96.0,0.6
BARISAL,BARISAL,MULADI,175820,88.7,94620,38420,58.2,44.1,67.4,8.9,23.7,49.5,27.0,58.3,53.0,48.1,39.0,10.7,2.2,73.1,78.6,80.6,62.0,40.1,34.1,7.9,36.9,20.5,0.7,92.1,0.9
BARISAL,JHALOKATI,NALCHITY,189420,83.9,109160,42540,46.5,32.5,45.8,11.8,42.4,47.2,25.1,53.8,68.4,33.6,48.0,16.0,2.5,81.3,89.2,87.1,71.0,45.9,29.6,6.4,38.5,21.9,0.1,97.9,1.4
BARISAL,PIROJPUR,NAZIRPUR,179780,97.6,107260,40580,51.5,36.6,72.2,6.2,21.6,29.6,30.6,41.7,59.2,42.1,42.6,12.8,2.4,76.4,84.1,81.9,67.2,47.5,31.7,6.9,37.2,20.8,0.3,92.4,2.9
BARISAL,PIROJPUR,NESARABAD (SWARUPKATI),210720,77.7,128080,48520,43.3,30.1,35.1,14.6,50.3,53.4,50.8,38.3,69.1,35.3,47.1,14.8,2.8,75.6,82.8,85.2,68.0,41.5,27.8,5.6,39.4,22.5,0.0,98.6,1.6
BARISAL,BARGUNA,PATHARGHATA,162560,82.7,100220,43100,12.9,6.1,65.5,8.8,25.7,31.3,26.0,52.2,61.8,38.0,49.4,11.0,1.6,74.5,84.9,78.8,63.1,32.2,30.3,6.5,36.9,20.8,7.0,49.2,0.9
BARISAL,PATUAKHALI,PATUAKHALI SADAR,313600,78.7,186020,68820,36.9,23.3,48.3,9.8,41.9,40.1,30.2,46.4,57.9,43.1,38.3,14.5,4.1,75.9,81.7,83.8,67.3,44.7,32.5,7.3,40.1,22.9,1.4,97.0,1.0
BARISAL,PIROJPUR,PIROJPUR SADAR,160980,63.6,97640,38040,42.7,28.7,38.2,9.7,52.1,57.0,52.3,38.0,72.2,31.0,46.7,17.3,4.9,78.1,85.0,85.4,67.7,46.4,27.3,5.6,36.6,20.6,19.9,75.4,0.9
BARISAL,JHALOKATI,RAJAPUR,147620,89.1,83700,34060,42.0,29.8,45.6,7.3,47.0,48.4,57.3,35.5,66.3,34.2,46.8,15.3,3.6,81.0,83.8,90.3,77.5,49.0,29.5,6.3,37.9,21.1,0.0,96.8,0.8
BARISAL,BHOLA,TAZUMUDDIN,125420,83.8,71640,28740,22.3,11.3,75.1,10.8,14.0,14.8,9.7,62.1,42.9,61.0,30.0,7.3,1.7,60.8,67.4,67.8,52.3,24.6,38.3,9.4,42.5,25.2,0.2,96.2,2.7
BARISAL,BARISAL,WAZIRPUR,233200,94.9,137320,52960,52.1,37.8,62.1,8.8,29.1,51.3,44.8,46.0,61.3,40.4,42.7,14.2,2.7,79.2,86.2,85.4,71.5,45.6,31.1,6.8,36.5,20.1,0.2,97.2,1.7
BARISAL,PIROJPUR,ZIANAGAR,74980,92.3,43040,17200,49.1,35.8,55.1,13.9,31.0,30.1,14.7,59.8,60.9,42.4,44.3,11.8,1.5,78.0,89.0,83.5,63.6,32.8,32.0,7.0,39.5,22.8,4.7,71.7,0.6
CHITTAGONG,BRAHMANBARIA,AKHAURA,143540,75.1,77280,27840,26.9,12.9,43.7,7.4,48.8,78.2,27.7,47.3,53.9,47.0,38.3,12.4,2.3,70.9,79.0,76.9,57.5,33.8,35.9,8.8,40.8,23.1,2.8,94.6,2.3
CHITTAGONG,BANDARBAN,ALIKADAM,51020,71.5,27800,9380,42.9,23.2,81.4,2.4,16.2,15.6,4.1,20.3,29.7,73.5,20.3,4.9,1.3,46.3,59.0,45.9,25.0,10.8,44.5,12.7,48.1,28.9,1.1,44.8,31.1
CHITTAGONG,CHITTAGONG,ANOWARA,257940,97.9,145680,49960,15.5,5.6,42.0,14.2,43.8,65.1,14.9,43.7,49.1,53.1,31.9,12.3,2.8,72.0,81.9,80.4,59.4,27.8,32.9,7.7,42.7,24.8,3.5,89.0,5.5
CHITTAGONG,BRAHMANBARIA,ASHUGANJ,179200,79.9,92780,33640,21.8,9.6,22.5,20.1,57.4,90.3,35.8,53.3,49.0,53.3,34.9,9.3,2.4,68.1,75.8,76.3,52.2,29.3,36.9,9.2,43.2,24.6,7.9,90.7,2.1
CHITTAGONG,RANGAMATI,BAGHAICHHARI,95540,80.3,55040,20180,24.8,8.1,80.8,3.5,15.7,29.9,5.5,17.2,39.9,62.5,26.8,9.4,1.2,63.1,71.2,66.1,50.0,28.5,34.7,8.5,44.4,26.6,0.3,37.6,4.5
CHITTAGONG,CHITTAGONG,BAKALIA,264660,0.0,174680,56740,4.9,0.7,2.2,25.4,72.4,98.1,37.3,45.8,59.5,40.8,28.7,22.1,8.4,55.9,68.1,62.6,40.1,30.7,41.1,11.2,36.2,18.7,39.0,58.3,0.7
CHITTAGONG,BRAHMANBARIA,BANCHHARAMPUR,296940,93.3,163260,59700,27.3,13.2,58.4,8.9,32.7,75.9,31.2,35.2,37.6,63.5,28.1,7.3,1.1,65.0,72.0,74.9,50.9,27.8,43.2,11.7,43.3,24.8,0.4,90.2,5.9
CHITTAGONG,BANDARBAN,BANDARBAN SADAR,87180,54.4,54680,18980,30.8,15.6,51.1,4.8,44.0,54.1,21.6,28.6,44.7,57.9,26.4,12.1,3.6,67.1,76.8,70.1,56.6,37.6,34.9,8.7,43.8,25.9,28.8,34.5,22.6
CHITTAGONG,CHITTAGONG,BANSHKHALI,435100,91.5,225660,84220,27.9,11.3,64.0,8.6,27.5,31.5,12.3,35.3,33.8,66.5,22.9,9.0,1.7,66.5,73.3,72.8,53.0,31.6,38.9,10.0,45.1,26.5,0.7,94.2,5.7
CHITTAGONG,RANGAMATI,BARKAL,45240,96.2,26340,9400,26.1,8.5,80.8,0.9,18.2,25.3,1.7,16.8,40.3,68.0,25.7,5.1,1.2,60.4,69.6,65.6,55.4,11.7,28.2,6.4,44.1,26.0,0.6,9.6,3.8
CHITTAGONG,COMILLA,BARURA,401680,87.9,224980,82600,37.9,20.2,65.6,6.3,28.1,62.7,18.7,67.5,51.9,48.1,37.8,12.2,1.8,71.8,79.9,81.4,59.1,32.6,39.4,10.1,38.1,21.1,0.9,95.2,2.5
CHITTAGONG,CHITTAGONG,BAYEJID BOSTAMI,211600,0.0,142960,46680,9.2,2.2,1.6,40.4,58.0,95.1,40.5,47.4,69.4,29.8,41.6,22.4,6.3,63.5,81.6,70.1,48.9,24.7,38.3,10.0,35.7,19.1,53.5,38.7,0.3
CHITTAGONG,NOAKHALI,BEGUMGANJ,555480,75.9,311140,101700,5.9,1.8,23.3,11.3,65.4,71.5,21.6,61.5,62.6,38.1,43.8,15.4,2.7,74.7,84.3,84.5,62.5,35.0,36.7,9.1,42.3,24.4,6.7,89.1,2.1
CHITTAGONG,RANGAMATI,BELAI CHHARI,28520,90.3,16760,6080,34.7,14.6,77.0,1.1,21.9,25.3,3.0,15.1,30.4,75.8,20.5,3.2,0.5,55.5,70.6,55.7,35.1,15.6,34.6,8.4,47.2,29.1,2.0,28.9,39.5
CHITTAGONG,BRAHMANBARIA,BIJOYNAGAR,255120,97.1,132440,48600,35.8,19.1,68.3,6.8,24.9,50.5,9.0,50.5,38.0,63.2,29.4,6.4,0.9,64.7,74.3,69.1,47.0,27.9,37.7,9.4,43.2,24.8,0.4,94.3,6.5
CHITTAGONG,CHITTAGONG,BOALKHALI,220820,77.1,139340,44120,10.5,3.8,17.8,18.6,63.6,87.0,20.8,62.1,60.9,36.3,42.9,18.4,2.4,74.1,84.5,84.8,64.0,39.2,29.1,6.4,43.2,24.6,1.4,95.2,1.1
CHITTAGONG,COMILLA,BRAHMAN PARA,206760,96.8,107800,38040,39.9,21.7,58.6,5.0,36.4,73.4,17.4,64.1,53.0,46.6,36.8,14.7,1.9,75.3,79.1,84.7,69.5,45.5,35.7,8.6,39.0,21.6,0.9,96.6,1.5
CHITTAGONG,BRAHMANBARIA,BRAHMANBARIA SADAR,528620,62.7,284900,95740,26.0,12.2,27.8,10.8,61.4,90.8,23.5,51.8,54.1,46.7,35.8,14.0,3.5,67.7,76.7,72.7,51.9,33.0,34.0,8.2,42.3,24.1,7.0,91.2,1.4
CHITTAGONG,COMILLA,BURICHANG,300280,96.0,170260,58380,33.3,17.3,46.1,10.8,43.2,89.4,30.5,44.2,57.6,41.1,39.0,16.9,3.0,75.3,83.1,83.6,67.2,38.9,31.5,7.1,39.2,21.8,6.9,89.2,2.7
CHITTAGONG,COX'S BAZAR,CHAKARIA,472820,84.4,256040,88400,28.5,13.2,48.9,10.1,41.0,37.6,11.8,44.8,46.9,52.8,34.8,10.5,2.0,68.9,81.2,73.4,51.3,26.0,33.2,7.8,43.5,25.2,1.4,90.7,5.6
CHITTAGONG,CHITTAGONG,CHANDANAISH,233820,84.5,136920,44480,13.5,4.8,31.7,13.9,54.3,74.8,14.4,60.5,52.1,47.4,34.3,15.8,2.5,73.9,83.0,83.9,59.9,40.6,29.0,6.4,43.3,24.9,0.4,94.6,2.2
CHITTAGONG,CHITTAGONG,CHANDGAON,257480,0.0,174720,54940,16.9,4.9,0.7,43.9,55.5,97.9,47.8,41.1,71.9,26.5,39.5,24.7,9.3,66.4,84.2,73.2,49.2,34.1,35.0,8.6,34.6,18.2,62.9,32.7,0.5
CHITTAGONG,COMILLA,CHANDINA,354220,86.0,197220,69720,41.2,22.6,57.8,9.9,32.2,66.3,20.9,57.9,50.8,50.1,36.6,11.5,1.8,69.1,76.6,76.9,56.6,32.2,38.9,9.9,39.5,22.2,1.7,93.0,3.1
CHITTAGONG,CHANDPUR,CHANDPUR SADAR,467280,63.6,267740,98140,45.5,25.9,37.7,12.0,50.2,70.8,27.1,47.6,56.7,44.3,37.7,14.3,3.7,71.4,80.6,77.9,59.0,36.4,36.9,9.3,40.6,23.1,22.2,69.6,2.8
CHITTAGONG,NOAKHALI,CHATKHIL,232020,86.3,132820,46040,4.8,1.5,40.9,6.8,52.2,74.8,25.6,60.5,69.6,32.3,50.5,14.5,2.7,73.5,83.5,84.0,60.5,35.4,34.7,8.3,38.4,21.5,1.3,92.7,3.3
CHITTAGONG,COMILLA,CHAUDDAGRAM,444360,91.5,250160,87500,34.4,19.0,41.4,12.8,45.8,80.3,18.3,54.7,56.0,46.0,36.9,15.4,1.8,74.1,82.2,84.1,66.0,36.9,36.7,9.1,40.7,23.1,2.9,92.0,2.3
CHITTAGONG,FENI,CHHAGALNAIYA,186800,73.7,110120,36760,25.9,14.4,34.9,12.4,52.7,80.6,14.9,54.0,65.4,34.7,40.2,21.9,3.1,75.8,85.5,83.1,67.1,43.3,33.2,7.8,40.2,22.7,4.1,90.8,1.4
CHITTAGONG,CHITTAGONG,CHITTAGONG PORT,206480,0.0,152380,47220,12.4,3.6,0.7,57.9,41.4,98.5,59.1,34.9,78.6,20.3,47.8,26.4,5.5,61.9,82.6,75.0,55.4,21.8,34.8,8.4,32.1,16.9,42.2,55.8,0.1
CHITTAGONG,COMILLA,COMILLA ADARSHA SADAR,530600,45.6,329920,105700,24.4,12.6,12.7,14.8,72.5,97.5,41.8,39.2,67.9,31.2,34.0,25.4,9.5,71.9,80.8,79.4,60.4,42.4,32.1,7.5,39.0,21.6,30.0,66.3,1.1
CHITTAGONG,COMILLA,COMILLA SADAR DAKSHIN,425960,74.9,249340,85100,33.3,19.3,43.9,13.1,43.0,91.4,21.7,50.2,56.0,43.6,37.4,15.9,3.1,72.0,81.3,80.7,62.8,34.7,35.9,8.8,39.0,21.8,9.5,85.5,2.4
CHITTAGONG,NOAKHALI,COMPANIGANJ,246100,88.0,139220,49020,7.6,2.5,43.9,10.3,45.7,60.4,11.9,64.3,53.9,46.1,40.8,11.3,1.8,69.7,78.2,79.6,60.0,31.0,36.7,9.0,42.3,24.6,1.1,92.4,3.5
CHITTAGONG,COX'S BAZAR,COX'S BAZAR SADAR,457920,52.7,259340,82780,26.2,12.2,23.5,7.2,69.3,53.8,20.8,41.5,49.7,52.0,31.0,13.3,3.8,65.2,78.0,69.5,47.3,27.8,38.0,10.0,46.2,27.7,8.3,88.0,6.8
CHITTAGONG,FENI,DAGANBHUIYAN,256220,86.7,150020,49040,16.3,7.5,29.5,10.3,60.2,81.0,7.6,70.5,60.6,39.2,43.7,15.1,2.0,74.0,84.2,85.7,62.8,34.7,36.2,8.9,41.8,23.5,1.8,94.0,2.6
CHITTAGONG,COMILLA,DAUDKANDI,351260,86.2,203600,69020,38.5,21.0,51.5,10.3,38.2,80.5,16.5,56.1,50.4,50.4,35.9,11.8,1.9,69.3,78.6,79.0,57.0,30.1,35.4,8.6,40.8,23.1,5.0,89.2,3.5
CHITTAGONG,COMILLA,DEBIDWAR,432280,86.1,233120,82680,41.4,24.5,51.6,10.8,37.6,68.7,28.9,49.4,51.3,48.2,36.7,13.1,2.0,72.6,78.0,82.9,63.1,36.5,37.7,9.4,40.6,23.0,2.1,94.3,4.1
CHITTAGONG,KHAGRACHHARI,DIGHINALA,101040,85.9,57160,22440,22.5,8.2,77.2,3.3,19.5,29.5,5.1,28.1,44.3,60.8,30.7,7.1,1.5,70.3,79.5,69.1,60.6,32.1,33.7,8.0,43.3,25.1,0.4,65.8,5.4
CHITTAGONG,CHITTAGONG,DOUBLE MOORING,354460,0.0,247560,77820,0.0,0.0,0.3,31.3,68.4,98.8,51.5,39.2,72.1,26.2,35.3,26.7,11.9,65.2,80.7,71.4,53.3,33.5,36.3,9.1,33.9,17.6,58.9,36.6,0.2
CHITTAGONG,CHANDPUR,FARIDGANJ,392640,91.2,219320,85680,46.6,26.8,57.1,13.7,29.2,48.9,13.9,67.7,58.4,41.5,44.3,12.4,1.8,74.1,82.4,85.0,62.8,35.2,39.5,10.1,38.4,21.5,0.7,94.3,1.5
CHITTAGONG,CHITTAGONG,FATIKCHHARI,524720,92.0,303340,99960,17.6,7.1,36.2,15.0,48.8,60.8,13.3,44.5,51.4,49.2,34.9,14.1,1.7,65.8,75.0,76.0,53.9,27.2,33.4,8.1,45.4,26.8,3.4,84.5,9.1
CHITTAGONG,FENI,FENI SADAR,509320,70.1,307260,97820,18.6,9.4,17.5,15.6,66.8,82.5,10.4,62.7,64.5,35.8,40.2,19.4,4.6,73.2,83.8,82.9,61.1,39.2,31.6,7.3,41.4,23.5,12.2,84.5,1.3
CHITTAGONG,FENI,FULGAZI,119300,96.4,75180,23520,31.8,17.8,37.3,12.3,50.4,78.2,9.1,68.8,61.9,36.6,44.0,16.8,2.6,73.4,85.4,81.8,64.2,39.1,28.2,6.2,40.2,22.8,2.1,93.1,1.3
CHITTAGONG,CHANDPUR,HAIM CHAR,111260,92.1,61180,24960,61.3,41.0,72.5,9.5,17.9,37.8,2.2,49.0,44.7,58.5,32.6,7.9,0.9,71.7,79.6,78.8,61.8,31.7,38.1,9.5,41.7,24.2,0.0,92.2,3.6
CHITTAGONG,CHANDPUR,HAJIGANJ,327460,79.4,188240,65700,53.7,32.5,46.7,12.2,41.1,62.5,6.6,50.6,60.3,40.7,42.0,14.7,2.6,74.7,83.0,82.6,65.3,42.7,36.6,9.0,40.2,22.9,6.1,88.5,3.3
CHITTAGONG,CHITTAGONG,HALISHAHAR,150220,0.0,100040,31260,5.6,1.1,2.1,19.4,78.5,99.2,55.8,32.3,74.6,25.4,30.7,28.4,15.5,68.9,81.5,75.3,53.8,39.0,35.7,8.8,33.8,17.7,55.6,41.9,0.1
CHITTAGONG,CHITTAGONG,HATHAZARI,442600,100.0,271940,81180,1.1,0.1,14.5,13.8,71.7,90.6,32.2,49.2,65.9,34.3,40.2,20.8,4.7,74.2,85.3,82.2,63.8,40.7,25.7,5.3,43.1,24.4,20.7,73.7,1.7
CHITTAGONG,NOAKHALI,HATIYA,453160,81.1,236440,91020,16.0,5.9,75.2,2.6,22.2,9.1,14.8,39.0,33.5,69.7,23.7,5.7,0.9,51.1,59.2,57.4,33.4,17.6,42.4,11.5,46.7,28.2,0.2,89.5,8.1
CHITTAGONG,COMILLA,HOMNA,210880,85.7,115360,40360,38.3,19.8,50.0,10.6,39.3,85.9,18.1,59.6,39.0,62.4,27.1,8.7,1.8,62.8,70.9,69.9,46.5,28.9,38.8,10.0,43.7,25.0,1.7,91.9,5.1
CHITTAGONG,RANGAMATI,JURAI CHHARI,28940,78.9,17600,6100,19.3,6.2,85.5,2.4,12.2,33.8,13.4,22.0,40.9,73.3,19.5,5.6,1.6,61.6,71.4,62.9,33.3,26.3,34.9,8.7,43.1,25.7,2.3,28.9,6.6
CHITTAGONG,NOAKHALI,KABIRHAT,194540,91.6,104280,36060,12.4,4.4,47.6,7.2,45.2,35.8,8.3,47.7,51.3,50.6,39.3,9.0,1.1,70.1,79.7,77.1,53.7,32.8,40.8,10.8,45.9,27.2,0.1,80.0,9.9
CHITTAGONG,CHANDPUR,KACHUA,379980,92.9,210900,76640,56.3,35.0,58.3,7.4,34.4,55.7,3.8,53.9,50.9,49.2,37.6,11.4,1.7,72.5,80.0,82.2,61.6,36.7,38.5,9.7,41.0,23.6,0.9,93.7,2.7
CHITTAGONG,LAKSHMIPUR,KAMALNAGAR,225920,94.5,116180,46080,18.7,7.6,73.7,6.1,20.2,17.1,3.1,55.1,29.9,70.1,22.7,5.9,1.2,58.3,68.0,64.4,37.3,19.3,40.1,10.4,45.8,27.1,0.2,84.2,7.5
CHITTAGONG,RANGAMATI,KAPTAI,59060,77.2,37660,13520,12.2,3.9,48.5,14.9,36.6,64.8,21.3,37.7,56.0,46.1,33.2,16.7,4.0,72.9,80.6,80.9,66.4,42.3,32.5,7.9,39.8,23.4,30.3,31.1,14.5
CHITTAGONG,BRAHMANBARIA,KASBA,316480,87.3,169780,60920,25.5,11.9,57.5,10.4,32.1,75.0,22.9,53.9,50.8,47.9,37.2,13.3,1.6,72.5,79.1,82.4,63.8,35.3,37.5,9.4,39.8,22.1,1.1,96.0,2.3
CHITTAGONG,RANGAMATI,KAWKHALI (BETBUNIA),60320,83.9,35580,12860,23.4,8.7,66.0,5.9,28.2,43.1,4.5,28.6,43.6,58.3,31.8,8.0,1.8,69.4,81.4,75.4,46.1,26.9,33.5,7.9,44.2,25.2,1.7,53.7,17.0
CHITTAGONG,KHAGRACHHARI,KHAGRACHHARI SADAR,112740,38.1,68740,24320,19.5,7.3,45.8,2.6,51.5,52.5,20.4,40.8,55.0,47.5,31.4,16.8,4.3,72.9,82.6,75.0,60.1,44.8,34.6,8.5,41.4,24.1,1.4,78.9,2.6
CHITTAGONG,CHITTAGONG,KHULSHI,277980,0.0,189280,60800,1.1,0.1,1.2,23.9,74.9,97.6,42.6,40.6,70.7,28.1,34.4,25.4,12.2,63.4,76.5,69.3,55.9,33.5,39.6,10.6,36.0,19.2,70.8,20.1,0.3
CHITTAGONG,CHITTAGONG,KOTWALI,315760,0.0,224940,65660,0.3,0.0,0.4,23.5,76.1,97.6,66.2,26.5,82.2,17.2,26.8,34.9,21.1,72.9,84.6,75.2,62.6,53.9,28.2,6.4,33.4,17.8,76.2,19.5,0.7
CHITTAGONG,COX'S BAZAR,KUTUBDIA,124820,80.4,64740,22580,31.1,13.8,55.4,2.0,42.6,7.1,28.3,50.8,33.0,62.6,28.6,7.5,1.3,59.6,68.6,64.9,43.8,18.7,35.9,8.9,46.3,27.6,0.7,94.9,3.5
