Division Name,Zila Name,Upazila Name,Total Population (N),Rural Population (%),Working-age population (N),Number of Households (N),Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Primary employment: Agriculture (%),Primary employment: Industry (%),Primary employment: Services (%),Households with Electricity (%),Households with flush toilet (%),"Households with non-flush, latrine (%)",Literate population (18 years and older) (%), Educational attainment: Less than primary completed (18 years and older) (%), Educational attainment: Primary completed (18 years and older) (%), Educational attainment: Secondary completed (18 years and older)(%), Educational attainment: University completed (18 years and older) (%),School attendance among 6-18 years old (%),School attendance among 6-10 years old (%),School attendance among 11-13 years old (%),School attendance among 14-15 years old (%),School attendance among 16-18 years old (%),Percentage of underweight children (%),Percentage of severely underweight children (%),Percentage of stunted children (%),Percentage of severely stunted children (%),Households with tap water (%),Households with tubewell water (%),"Households without toilet, open defecation (%)"
RAJSHAHI,BOGRA,SHAJAHANPUR,284700,80.6,185640,72660,12.5,5.0,49.5,9.5,41.0,67.5,39.9,32.1,54.6,45.3,34.3,16.7,3.7,76.5,83.1,80.4,73.1,48.5,28.6,6.0,36.9,20.3,7.8,90.5,6.1
RAJSHAHI,BOGRA,SHERPUR,333600,83.5,213860,81780,15.7,5.6,63.3,12.5,24.2,42.3,34.4,36.9,39.9,59.7,26.2,11.0,3.2,71.3,75.4,81.8,63.9,41.7,34.9,8.1,40.6,23.1,3.8,93.6,6.9
RAJSHAHI,BOGRA,SHIBGANJ,381580,94.2,248100,99220,16.9,6.3,76.0,6.2,17.8,46.6,24.0,22.4,40.2,58.8,28.8,10.6,1.8,69.5,74.0,81.0,64.1,37.4,34.0,7.8,40.4,23.1,1.1,95.8,23.3
RAJSHAHI,CHAPAI NABABGANJ,SHIBGANJ,592780,91.4,357660,124920,26.0,12.2,71.6,5.0,23.4,46.6,14.2,12.9,37.1,62.2,27.2,8.4,2.1,66.6,74.8,76.3,57.0,28.7,36.5,8.7,44.2,26.0,0.9,96.2,10.6
RAJSHAHI,NATORE,SINGRA,364000,90.7,228720,88780,37.8,23.4,82.5,3.1,14.4,43.2,15.4,48.1,40.3,59.6,30.5,8.3,1.6,68.2,75.9,74.0,56.5,36.5,35.6,8.4,39.5,22.4,2.2,92.1,6.5
RAJSHAHI,SIRAJGANJ,SIRAJGANJ SADAR,558540,69.7,341160,125460,36.7,21.6,32.5,24.3,43.1,66.0,26.3,35.9,46.9,52.3,30.3,13.8,3.6,71.7,78.3,80.2,62.1,39.7,34.5,8.0,45.1,26.8,4.2,93.7,4.4
RAJSHAHI,BOGRA,SONATOLA,187880,87.2,112720,48580,23.7,10.3,74.9,6.7,18.4,29.3,23.4,26.3,37.3,62.1,24.1,12.0,1.8,72.1,76.5,82.3,65.9,41.1,37.3,9.0,41.2,23.6,0.2,97.8,15.6
RAJSHAHI,PABNA,SUJANAGAR,280340,90.6,165860,63680,35.4,19.4,69.1,10.6,20.3,57.9,21.6,39.9,38.1,63.7,25.0,9.8,1.5,70.4,74.0,80.3,67.5,38.4,36.2,8.6,42.1,24.3,0.6,96.5,4.8
RAJSHAHI,RAJSHAHI,TANORE,191840,72.4,123840,47420,35.7,20.7,86.9,3.0,10.2,60.4,14.2,21.0,45.0,53.7,34.8,9.1,2.4,71.1,77.4,82.1,67.0,32.2,32.1,7.1,37.1,20.6,20.1,75.1,22.9
RAJSHAHI,SIRAJGANJ,TARASH,196440,96.0,118160,48960,35.8,20.0,82.6,3.8,13.6,40.7,17.4,49.1,34.2,66.2,24.6,7.4,1.8,67.5,74.3,74.7,56.9,29.5,37.2,8.9,39.7,22.6,0.7,96.1,7.1
RAJSHAHI,SIRAJGANJ,ULLAH PARA,539260,91.3,320380,123880,36.6,20.9,60.7,16.0,23.3,44.5,17.0,51.2,40.1,59.7,28.0,10.2,2.1,71.6,76.1,81.1,61.9,42.6,36.2,8.6,42.8,24.9,0.8,94.5,3.2
RANGPUR,LALMONIRHAT,ADITMARI,226740,91.0,133340,52140,36.0,17.3,79.9,4.5,15.6,20.3,46.6,32.1,40.0,62.4,27.6,8.3,1.6,76.0,81.0,84.2,69.5,41.4,36.7,8.7,40.1,18.4,0.3,97.3,5.7
RANGPUR,PANCHAGARH,ATWARI,135000,91.8,83620,32040,24.1,11.1,65.6,2.2,32.2,38.5,54.2,15.9,53.7,51.3,34.4,11.7,2.6,78.8,84.7,86.8,72.3,46.6,31.1,6.7,37.9,17.3,0.7,96.4,18.1
RANGPUR,RANGPUR,BADARGANJ,285780,91.2,171720,71980,48.3,30.6,79.2,5.1,15.7,28.6,13.0,15.7,38.8,61.4,27.5,8.9,2.3,71.1,77.2,81.4,60.4,33.6,36.5,8.7,42.4,20.0,0.8,96.6,26.6
RANGPUR,THAKURGAON,BALIADANGI,195980,91.9,118640,45520,26.5,11.3,83.7,2.9,13.4,24.2,2.1,4.9,38.6,59.9,29.7,8.7,1.7,73.2,78.7,81.5,62.1,43.9,36.5,8.7,43.6,21.0,0.1,98.1,48.9
RANGPUR,KURIGRAM,BHURUNGAMARI,230380,87.2,139080,57020,65.1,44.7,80.2,4.0,15.7,19.7,17.1,58.9,36.6,64.9,25.9,7.6,1.5,71.4,76.3,82.9,64.1,35.4,38.6,9.5,40.7,19.0,0.1,96.9,6.8
RANGPUR,DINAJPUR,BIRAL,256500,96.4,156760,61440,38.8,20.6,69.1,4.1,26.8,31.1,26.7,8.3,43.8,56.7,31.4,10.1,1.8,74.6,82.1,82.5,63.3,37.4,34.3,7.8,42.6,20.4,0.9,97.3,43.9
RANGPUR,DINAJPUR,BIRAMPUR,172540,71.6,110180,42120,35.9,19.0,65.2,3.3,31.5,41.8,36.4,22.6,50.7,48.9,35.4,12.5,3.2,75.8,80.3,84.1,76.0,45.1,33.4,7.6,39.7,18.2,0.9,96.1,12.2
